"TF","mlog10p","Enrichment","celltype","TF_prefix","mlog10padj"
"UNCX_507",3.6402,1.18019518524471,"C1","UNCX",2.9701936915993
"SOX5_758",3.6424,1.21099348331669,"C1","SOX5",2.9701936915993
"SOX6_868",3.6424,1.21099348331669,"C1","SOX6",2.9701936915993
"VAX2_439",3.6228,1.25847561143752,"C1","VAX2",2.95743859664506
"VAX1_489",3.6228,1.25847561143752,"C1","VAX1",2.95743859664506
"LMX1A_499",3.6195,1.24452596554928,"C1","LMX1A",2.95644255155463
"SOX10_751",3.617,1.17664844015591,"C1","SOX10",2.95623434833421
"NKX22_458",3.5994,1.18538596774679,"C1","NKX22",2.94318197608493
"HDX_511",3.6001,1.15425797021756,"C1","HDX",2.94318197608493
"LMX1B_479",3.5704,1.19471959529719,"C1","LMX1B",2.91643805638915
"GATA6_387",3.5154,1.23822679709433,"C1","GATA6",2.86368247731161
"ZBTB3_269",3.4986,1.09954961129257,"C1","ZBTB3",2.85204697354297
"HLX_478",3.4988,1.19191220602934,"C1","HLX",2.85204697354297
"HNF4A_662",3.4971,1.14185241065204,"C1","HNF4A",2.85204697354297
"MAFG_148",3.4488,1.22650306689978,"C1","MAFG",2.81587678529459
"AL8445277_699",3.4479,1.17688790292264,"C1","AL8445277",2.81587678529459
"AL6628245_700",3.4479,1.17688790292264,"C1","AL6628245",2.81587678529459
"CR7597334_701",3.4479,1.17688790292264,"C1","CR7597334",2.81587678529459
"CR3545653_702",3.4479,1.17688790292264,"C1","CR3545653",2.81587678529459
"CR9368773_703",3.4479,1.17688790292264,"C1","CR9368773",2.81587678529459
"SOX14_765",3.4457,1.21051734847192,"C1","SOX14",2.81581091480728
"LHX2_422",3.4283,1.27313640931812,"C1","LHX2",2.80053460843714
"SOX21_755",3.3669,1.17862244064932,"C1","SOX21",2.74124796775053
"DMRT3_304",3.3487,1.22314560143411,"C1","DMRT3",2.7251510928383
"ATF5_136",3.2745,1.10289492013598,"C1","ATF5",2.65304408234414
"ZNF713_257",3.2456,1.1497658234134,"C1","ZNF713",2.62622703349244
"IRX4_434",3.2269,1.19257819178569,"C1","IRX4",2.61371660831013
"IRX6_495",3.2269,1.19257819178569,"C1","IRX6",2.61371660831013
"SOX30_747",3.2291,1.16731006294024,"C1","SOX30",2.61371660831013
"HOXD9_462",3.2081,1.1433129535155,"C1","HOXD9",2.59696035082012
"GATA5_385",3.1727,1.20134230388744,"C1","GATA5",2.56359452073057
"TEF_134",3.1648,1.20177589720347,"C1","TEF",2.55771920729699
"LHX3_424",3.1607,1.14836683083603,"C1","LHX3",2.55563449853231
"TCF7L1_763",3.1284,1.13997996720011,"C1","TCF7L1",2.52534048122991
"AIRE_736",3.1017,1.17254843171547,"C1","AIRE",2.50063724098599
"DDIT3_141",3.0925,1.1652471689148,"C1","DDIT3",2.4934248622215
"ALX1_545",3.0572,1.17433188240914,"C1","ALX1",2.46010342820359
"CDX4_467",3.0524,1.1782296822867,"C1","CDX4",2.45727302106649
"POU4F2_615",3.0416,1.1306196265797,"C1","POU4F2",2.44843372183202
"LHX5_406",3.0044,1.17212097517216,"C1","LHX5",2.41512876571554
"LHX1_469",3.0044,1.17212097517216,"C1","LHX1",2.41512876571554
"SOX15_757",3.0014,1.16766906719236,"C1","SOX15",2.41406326549274
"TBX1_792",2.9786,1.12076845713852,"C1","TBX1",2.39318918652878
"POU1F1_610",2.9731,1.14828004784091,"C1","POU1F1",2.3896066045745
"THRB_684",2.9682,1.22457597388465,"C1","THRB",2.38661559438184
"VENTX_490",2.9646,1.19303179348,"C1","VENTX",2.38491622972127
"FOXF2_359",2.9587,1.16438239505413,"C1","FOXF2",2.38090858339897
"DUXA_564",2.9428,1.17379703134376,"C1","DUXA",2.36689272727353
"SOX12_768",2.9242,1.14669184815917,"C1","SOX12",2.35016873227228
"MECOM_169",2.9189,1.1682352397947,"C1","MECOM",2.3467366684074
"FOXH1_362",2.9057,1.16659600739568,"C1","FOXH1",2.33594860965312
"TERF2_649",2.9044,1.21645104287453,"C1","TERF2",2.33594860965312
"PROP1_535",2.8754,1.15465916267752,"C1","PROP1",2.30879275035149
"DRGX_516",2.8382,1.15992295603369,"C1","DRGX",2.27342909339149
"IRX5_539",2.8254,1.19085357173977,"C1","IRX5",2.26245770443789
"HNF4G_688",2.8229,1.11750600483796,"C1","HNF4G",2.26177864832952
"NFATC1_720",2.8041,1.13397874179053,"C1","NFATC1",2.24479198909299
"OSR2_227",2.7537,1.23932102927927,"C1","OSR2",2.19619778995625
"MIXL1_553",2.7496,1.2021472788146,"C1","MIXL1",2.19389611336181
"ARID5A_9",2.7406,1.13557696121743,"C1","ARID5A",2.18668702097969
"TBX3_785",2.7378,1.12599830571125,"C1","TBX3",2.18567057372011
"SOX11_767",2.7321,1.15066768495454,"C1","SOX11",2.18174683174591
"NKX25_550",2.7157,1.12247631346257,"C1","NKX25",2.16711585448476
"HMX2_558",2.6907,1.16206699356665,"C1","HMX2",2.14387770064105
"HOXB2_532",2.6858,1.20922787370205,"C1","HOXB2",2.1407324282076
"SOX4_754",2.659,1.13750575635674,"C1","SOX4",2.11568009447712
"EHF_333",2.6555,1.14378609919426,"C1","EHF",2.11392075605342
"HOXC10_548",2.626,1.12326721579005,"C1","HOXC10",2.08615446886242
"POU4F3_611",2.5927,1.11975643289331,"C1","POU4F3",2.05458128816293
"ATOH7_84",2.563,1.23001448838355,"C1","ATOH7",2.0266012685572
"ZFHX2_477",2.5434,1.24063632055855,"C1","ZFHX2",2.00871446400132
"PHOX2A_512",2.5366,1.14640254612763,"C1","PHOX2A",2.00362092781534
"NFAT5_717",2.5265,1.13535406842341,"C1","NFAT5",1.99522071269323
"GSX2_546",2.5056,1.1543692819519,"C1","GSX2",1.97601387071268
"HMX3_557",2.4726,1.17177145481748,"C1","HMX3",1.94470045334461
"TGIF1_541",2.4377,1.13872862471396,"C1","TGIF1",1.91148051146263
"SOX9_756",2.4334,1.14406288226203,"C1","SOX9",1.9088540953522
"GATA2_388",2.3974,1.14515736007532,"C1","GATA2",1.87452125471966
"THRA_672",2.3705,1.18847821908027,"C1","THRA",1.84928203870113
"SMAD4_739",2.3659,1.12238312116994,"C1","SMAD4",1.84633649587114
"PHOX2B_431",2.358,1.14448896545664,"C1","PHOX2B",1.84008467425121
"ONECUT2_293",2.3527,1.14331054295293,"C1","ONECUT2",1.83642662131819
"PRDM16_211",2.3508,1.12699740884847,"C1","PRDM16",1.83616238401245
"ONECUT1_295",2.3314,1.13731132847396,"C1","ONECUT1",1.81839200874596
"HOXB3_447",2.3289,1.17829107286689,"C1","HOXB3",1.81751554141017
"RAX_472",2.3176,1.18517306528445,"C1","RAX",1.80783302738379
"HNF1B_428",2.2993,1.15946327124212,"C1","HNF1B",1.79114451154037
"NKX63_509",2.2975,1.15540069871923,"C1","NKX63",1.79095003825579
"NR3C1_666",2.2873,1.12653942842219,"C1","NR3C1",1.78234965141558
"DLX1_487",2.2762,1.19753760324011,"C1","DLX1",1.77284339442214
"TCF7L2_762",2.264,1.12012083656888,"C1","TCF7L2",1.76223131020177
"MAF_144",2.2505,1.14927487204059,"C1","MAF",1.75031344121164
"EVX2_534",2.2322,1.24384572835093,"C1","EVX2",1.7335898294466
"HNF1A_473",2.228,1.12485405158189,"C1","HNF1A",1.73096051644583
"GATA1_383",2.2007,1.15112443735749,"C1","GATA1",1.70522554329946
"EN2_506",2.1989,1.17991683732366,"C1","EN2",1.70498495065498
"DBX2_554",2.1959,1.16902614563672,"C1","DBX2",1.7035387787236
"ALX3_493",2.194,1.20331479832943,"C1","ALX3",1.70318706728646
"NFIL3_133",2.1779,1.17762882520587,"C1","NFIL3",1.68862985570074
"ARX_394",2.1562,1.13063741070573,"C1","ARX",1.66846718290567
"POU6F1_551",2.1385,1.12211411341597,"C1","POU6F1",1.65229908742842
"RORC_681",2.1209,1.13851246105509,"C1","RORC",1.63622560738989
"GSX1_522",2.1149,1.16366851538628,"C1","GSX1",1.63174678051042
"TBX19_787",2.1096,1.21011185251142,"C1","TBX19",1.62796264411537
"ALX4_401",2.0999,1.13935943620113,"C1","ALX4",1.61977323514061
"HESX1_503",2.0571,1.19173242684588,"C1","HESX1",1.57847859013793
"HMBOX1_488",2.0535,1.20405472689587,"C1","HMBOX1",1.57637874528034
"NPAS4_77",2.0498,1.3117443994835,"C1","NPAS4",1.57557245844032
"ZBTB12_280",2.0438,1.1507268201843,"C1","ZBTB12",1.57557245844032
"AL8448538_281",2.0438,1.1507268201843,"C1","AL8448538",1.57557245844032
"CR7597843_285",2.0438,1.1507268201843,"C1","CR7597843",1.57557245844032
"CR3882194_286",2.0438,1.1507268201843,"C1","CR3882194",1.57557245844032
"AL66283413_287",2.0438,1.1507268201843,"C1","AL66283413",1.57557245844032
"PAX4_607",2.0416,1.24507012356568,"C1","PAX4",1.57483719669859
"NFATC2_716",2.0205,1.0980424559986,"C1","NFATC2",1.55519701145764
"BARX2_400",1.9819,1.12818310401618,"C1","BARX2",1.51805193570581
"IRF4_632",1.9733,1.07476019943899,"C1","IRF4",1.51090200210104
"MEOX2_421",1.9558,1.14456287157064,"C1","MEOX2",1.49484724297522
"LHX9_485",1.9522,1.15821860254377,"C1","LHX9",1.49268769033853
"HMGA2_13",1.9348,1.15197143854495,"C1","HMGA2",1.47672337588369
