Metric,Model,Species,Samples,Value
ns(100),mouse_model,marmoset,Peregrine_rep1,0.21
ns(50),mouse_model,marmoset,Peregrine_rep1,0.13
ns(10),mouse_model,marmoset,Peregrine_rep1,0.05
ls(100),mouse_model,marmoset,Peregrine_rep1,0.76
ls(50),mouse_model,marmoset,Peregrine_rep1,0.77
ls(10),mouse_model,marmoset,Peregrine_rep1,0.8
ns(100),mouse_model,marmoset,Peregrine_rep2,0.22
ns(50),mouse_model,marmoset,Peregrine_rep2,0.14
ns(10),mouse_model,marmoset,Peregrine_rep2,0.05
ls(100),mouse_model,marmoset,Peregrine_rep2,0.77
ls(50),mouse_model,marmoset,Peregrine_rep2,0.79
ls(10),mouse_model,marmoset,Peregrine_rep2,0.82
ns(100),raw_atac,macaque,Dheni,0.21
ns(50),raw_atac,macaque,Dheni,0.15
ns(10),raw_atac,macaque,Dheni,0.06
ls(100),raw_atac,macaque,Dheni,0.85
ls(50),raw_atac,macaque,Dheni,0.87
ls(10),raw_atac,macaque,Dheni,0.9
ns(100),raw_atac,macaque,Mac3,0.25
ns(50),raw_atac,macaque,Mac3,0.18
ns(10),raw_atac,macaque,Mac3,0.08
ls(100),raw_atac,macaque,Mac3,0.83
ls(50),raw_atac,macaque,Mac3,0.86
ls(10),raw_atac,macaque,Mac3,0.89
ns(100),raw_atac,macaque,R2,0.16
ns(50),raw_atac,macaque,R2,0.1
ns(10),raw_atac,macaque,R2,0.03
ls(100),raw_atac,macaque,R2,0.76
ls(50),raw_atac,macaque,R2,0.78
ls(10),raw_atac,macaque,R2,0.81
ns(100),raw_atac,marmoset,Webster,0.23
ns(50),raw_atac,marmoset,Webster,0.16
ns(10),raw_atac,marmoset,Webster,0.07
ls(100),raw_atac,marmoset,Webster,0.72
ls(50),raw_atac,marmoset,Webster,0.75
ls(10),raw_atac,marmoset,Webster,0.79
ns(100),raw_atac,marmoset,Meadow,0.25
ns(50),raw_atac,marmoset,Meadow,0.17
ns(10),raw_atac,marmoset,Meadow,0.07
ls(100),raw_atac,marmoset,Meadow,0.76
ls(50),raw_atac,marmoset,Meadow,0.79
ls(10),raw_atac,marmoset,Meadow,0.84
ns(100),raw_atac,marmoset,Peregrine_rep1,0.23
ns(50),raw_atac,marmoset,Peregrine_rep1,0.16
ns(10),raw_atac,marmoset,Peregrine_rep1,0.07
ls(100),raw_atac,marmoset,Peregrine_rep1,0.72
ls(50),raw_atac,marmoset,Peregrine_rep1,0.75
ls(10),raw_atac,marmoset,Peregrine_rep1,0.8
ns(100),raw_atac,marmoset,Peregrine_rep2,0.24
ns(50),raw_atac,marmoset,Peregrine_rep2,0.17
ns(10),raw_atac,marmoset,Peregrine_rep2,0.07
ls(100),raw_atac,marmoset,Peregrine_rep2,0.73
ls(50),raw_atac,marmoset,Peregrine_rep2,0.76
ls(10),raw_atac,marmoset,Peregrine_rep2,0.81
