tf,pval,padj,mean_difference
ZBTB45,0.0,0.0,-0.00509191775947534
ZBTB48,0.41202696537438666,1.0,0.001180492701785659
ZBTB49,2.6673036799407756e-221,2.840678419136926e-218,-0.0016334411563384416
ZBTB6,0.0,0.0,-0.0024383618542805543
ZBTB7A,2.939258709510606e-298,3.1303105256287957e-295,-0.004290257642817423
ZBTB7B,0.0,0.0,-0.004269574611276453
ZBTB7C,0.0,0.0,-0.004913322660916007
ZEB1,3.227348538573402e-157,3.437126193580673e-154,-0.01768159931039015
ZEB2,9.048491745607965e-220,9.636643709072483e-217,-0.017205365823064644
ZFHX2,0.0,0.0,-0.0018715078599006898
ZFHX3,0.0,0.0,-0.0010695923682831742
ZFP1,0.00015407677399747894,0.16409176430731506,0.0009797098489096115
ZFP14,0.0,0.0,0.002692319259625587
ZFP28,0.0,0.0,-0.006715788303643831
ZFP3,0.0,0.0,0.0007623543420245474
ZFP41,4.195414275440706e-267,4.468116203344352e-264,-0.004773206959345952
ZFP42,0.0,0.0,-0.0027896001144007143
ZFP57,0.0,0.0,-0.008603147686906584
ZFP64,0.0,0.0,-0.0017762069402501727
ZFP69,0.0,0.0,-0.008883951717542688
ZFP69B,0.0,0.0,0.0002677762109847791
ZFP82,1.538765992198876e-05,0.01638785781691803,0.00223497777945688
ZFP90,0.0,0.0,-0.005506671808958745
ZFX,0.0,0.0,-0.003992975595076213
ZHX1,0.0,0.0,-0.0021864506648651503
ZIC1,0.0,0.0,-0.004443450577448567
ZIC2,0.0,0.0,-0.0015123864804536154
ZIC3,0.0,0.0,-0.008561257599525356
ZIC4,0.0,0.0,-0.004796831883945657
ZIC5,0.0,0.0,-0.005975823563962801
ZIK1,3.3590331137133445e-81,3.577370266104712e-78,-0.0001802292991219985
ZIM2,2.4732030768340734e-40,2.633961276828288e-37,0.00038854481445922684
ZIM3,0.0,0.0,-0.007112521043861397
ZKSCAN1,0.0,0.0,-0.0011860199795840493
ZKSCAN2,0.0,0.0,-0.005923541127667846
ZKSCAN3,2.641404143814205e-10,2.8130954131621286e-07,-0.00013859915719273072
ZKSCAN5,0.0,0.0,-0.0037398234087853734
ZKSCAN7,2.991598854631014e-270,3.1860527801820296e-267,-0.0037339173029349217
ZNF10,7.789746028794694e-154,8.296079520666348e-151,-0.0026878498714120354
ZNF100,0.0,0.0,-0.009372541372890342
ZNF101,0.0,0.0,0.0014325136287974098
ZNF114,0.0,0.0,-0.013414777016919385
ZNF12,0.0,0.0,-0.004720353457741662
ZNF121,4.962272829029624e-120,5.284820562916549e-117,0.00125458743694596
ZNF124,9.883383117027472e-14,1.0525803019634258e-10,0.0015421218019139003
ZNF132,2.9216109414261075e-195,3.1115156526188045e-192,0.007944781678290117
ZNF133,0.0,0.0,-0.004406528471934196
ZNF134,0.0,0.0,-0.00845085219550968
ZNF135,0.0,0.0,-0.002120499417143519
ZNF136,0.0,0.0,-0.00505902846860206
ZNF140,0.764118326264594,1.0,0.0010936023570953246
ZNF141,0.0,0.0,-0.009835246251785697
ZNF143,4.456584315731368e-225,4.746262296253907e-222,-0.0022385829231954535
ZNF146,0.0,0.0,0.0025587237050249123
ZNF154,6.525252145549922e-209,6.949393535010666e-206,-0.000725701965099905
ZNF157,0.0,0.0,0.0013832371257620837
ZNF16,0.0,0.0,0.0012908976923407638
ZNF169,0.0,0.0,0.0009773361217131431
ZNF17,0.0,0.0,-0.006361418680279661
ZNF174,0.0,0.0,0.006779900391543789
ZNF175,0.0,0.0,-0.002044938073139921
ZNF177,0.0,0.0,0.0036876570929598312
ZNF18,0.0,0.0,-0.0052728366939064075
ZNF180,0.0,0.0,-0.003663143910540574
ZNF181,0.0,0.0,-0.0031894466711037046
ZNF182,0.0,0.0,-0.00830001524026118
ZNF184,0.0,0.0,-0.0063752189233261345
ZNF189,9.120902231963489e-21,9.713760877041115e-18,0.0042897738169767954
ZNF19,1.1556223869416534e-60,1.2307378420928608e-57,-0.0013786958978244564
ZNF197,0.0,0.0,-0.0006734695699798221
ZNF2,0.0,0.0,-0.01097624700038264
ZNF200,3.5642838608428005e-23,3.795962311797583e-20,0.00293711260866808
ZNF202,0.0,0.0,-0.0016972582088898153
ZNF205,0.0,0.0,0.003381370430259388
ZNF211,0.0,0.0,-0.006212073192519336
ZNF212,0.0,0.0,-0.019476361162990924
ZNF213,0.0,0.0,-0.006586174301609002
ZNF214,7.17236393378723e-44,7.6385675894834e-41,-0.0005115629980282517
ZNF22,0.0,0.0,-0.010183225524315657
ZNF222,0.0,0.0,-0.0027892197229976243
ZNF223,7.14483956167281e-211,7.609254133181542e-208,-0.004176670007678074
ZNF224,0.0,0.0,0.0010844866480925475
ZNF225,0.0,0.0,-0.008864047077514314
ZNF23,0.0,0.0,-0.0018030420011970055
ZNF232,0.0,0.0,-0.006435035917898478
ZNF235,0.0,0.0,-0.01035618580462492
ZNF24,2.168569621637832e-20,2.309526647044291e-17,0.0004677052194442255
ZNF248,0.0,0.0,0.0010971832729255704
ZNF25,5.108405451433052e-11,5.4404518057762004e-08,0.00196652074386346
ZNF250,0.0,0.0,0.0011335134671453424
ZNF254,9.33994499579948e-164,9.947041420526446e-161,-0.0009222382043852957
ZNF257,5.629257248156713e-172,5.995158969286899e-169,-0.0013504651719546436
ZNF26,0.0,0.0,0.007680562868905463
ZNF260,8.517574543230486e-153,9.071216888540467e-150,0.0020169240859673337
ZNF263,0.0,0.0,-0.00206122587551363
ZNF264,0.0,0.0,-0.004016546366277339
