,celltype,tf,pval,pval_adj,mean_difference,Correlation,corr_padj
365,cMono,MAFK,6.644082565494783e-179,8.040849923013573e-178,0.008002701579589794,-0.0201151243367705,0.0003547307811473
366,cMono,MAX,2.8155588954447437e-64,4.613184959459465e-64,0.0003104588114962725,-0.0060866208651569,0.3659239826562891
367,cMono,MAZ,1.7931026343608217e-118,6.344366463768356e-118,-0.0012811649510709525,0.0030323965105471,0.6884348408801964
368,cMono,MBNL2,2.6303901481788652e-133,1.2395422600931378e-132,-0.0010266408987786805,0.039370843081164,2.283347818496203e-13
369,cMono,MECOM,1.4564238780267734e-58,2.2643670512387064e-58,-0.0017683543429678483,0.004372624033995,0.533923906756797
370,cMono,MECP2,4.496641098856105e-58,6.940467783017031e-58,-0.0008797989649090045,0.0902250900365602,6.328626371378977e-67
371,cMono,MEF2A,2.952314893938743e-104,8.000547995024837e-104,-0.0006438142099833063,-0.0102027390629165,0.0945194040112119
372,cMono,MEF2B,7.744339123571704e-11,8.91645531524742e-11,-1.9802955714767062e-05,-0.0078882968795652,0.2150858513409106
373,cMono,MEF2C,2.8617439007053004e-110,8.683069100430612e-110,-0.0006726921729623791,0.0318150118650975,4.523672808380588e-09
374,cMono,MEF2D,1.2219394769625752e-53,1.8277605940521666e-53,-0.0009770602525510808,0.0208925892150662,0.0001954692062503
375,cMono,MEIS1,1.2821461971336349e-06,1.4091699689858836e-06,0.0001241987826173501,0.0032479295535895,0.6611605742419489
376,cMono,MEIS2,6.813902923988751e-54,1.0206479063358678e-53,-0.0013911116573932375,0.0056496522959121,0.4095645087465297
377,cMono,MEIS3,2.5190000290896303e-51,3.685075592006121e-51,-0.001308107630699877,-0.0073180451883849,0.2572498088193686
378,cMono,MEOX1,0.2598483533749083,0.2671221007184144,5.802252171000291e-05,0.0133078304390951,0.0232068161145707
379,cMono,MEOX2,1.8471892585702668e-117,6.428943007769066e-117,-0.0003987609018846032,0.0,0.0
380,cMono,MESP1,3.0740564876736194e-64,5.028986419926889e-64,-0.0031356776464066816,-0.004025735638965,0.5781251755321789
381,cMono,MESP2,1.233865325786572e-07,1.3745466233919448e-07,0.00019838688542661576,-0.0066600688970451,0.3129267822611148
382,cMono,MGA,1.45573139445017e-46,2.056172327704816e-46,-0.00128369837655401,0.028583669488443,1.6272406661475594e-07
383,cMono,MITF,9.527712105054632e-68,1.613197677564894e-67,0.0009350824773611821,0.0221564166306469,7.239660851226478e-05
384,cMono,MIXL1,7.222403170664608e-07,7.954353026636823e-07,0.0002772954136896753,0.0032197244812772,0.663856036667727
385,cMono,MLX,7.119836905430732e-24,8.837559795202483e-24,-0.00018074266581472043,0.0347733849540238,1.1947714145760578e-10
386,cMono,MLXIP,1.055707272983648e-30,1.3711320069848598e-30,-0.0002531618769602492,-0.0131752051189953,0.0248474034550536
387,cMono,MLXIPL,0.6114369933999952,0.6195817297535632,-0.0003322264378031736,-0.0025613952220163,0.7385152640107208
388,cMono,MNT,4.20144957142025e-68,7.125069734972239e-68,-0.00042716256588826856,-0.0003011360164693,0.9693911346726216
389,cMono,MNX1,2.6659037670999294e-22,3.28609665736276e-22,0.0007174982949168969,0.0,0.0
390,cMono,MSANTD3,0.11540004734908298,0.11966996146716005,0.00021532411367067034,0.0073746911699398,0.2527235059874919
391,cMono,MSC,6.09827102668151e-123,2.3446421095363926e-122,-0.0019901373720890153,0.0120750767047797,0.0420147068112732
392,cMono,MSGN1,3.60434410335349e-138,1.9685263949084443e-137,0.0008899871514239585,0.0,0.0
393,cMono,MSX1,7.739159461723266e-99,1.881781923912164e-98,0.0012649325908151814,-0.0048111930703424,0.4934038164252706
394,cMono,MSX2,1.2557047908928173e-100,3.146648476002001e-100,0.0004867448079172434,0.0,0.0
395,cMono,MTF1,1.021553855357608e-89,2.189043975766303e-89,-0.001313538604273544,-0.0364994676920666,1.222844752129936e-11
396,cMono,MTF2,5.831007474566724e-144,3.568978712881357e-143,-0.0008991494160117477,0.0090173443451846,0.1465899255191366
397,cMono,MXI1,4.218844793520772e-94,9.539426125476903e-94,-0.0005401988543716277,0.0216562857960715,0.0001077761305406
398,cMono,MYB,3.218977680748076e-112,1.0112717492615635e-111,0.0006680893929212469,-0.0124834432983398,0.034546784198181
399,cMono,MYBL1,3.707558366196608e-107,1.0642990997302931e-106,-0.001098646290331174,0.1458939070290313,4.470684610729919e-175
